Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,High_52W,Low_52W
2025-05-27,237.33384704589844,239.95336787014628,237.08528512638918,239.95336787014628,6861143,-0.0109,238.21,253.87,217.97
2025-05-28,236.54989624023438,239.140737391071,236.10057670009755,238.61491930645585,6205160,-0.0087,237.62,253.87,217.97
2025-05-29,239.14073181152344,240.6703817332923,237.19044201969984,238.67227305837383,11785042,0.002,237.68,253.87,217.97
2025-05-30,238.69140625,240.0680883113749,237.59198035844764,239.00689710471704,13858429,-0.0013,237.51,253.87,217.97
2025-06-02,236.78890991210938,237.49637559055304,235.37399314304562,236.71244054108845,5846259,0.0003,237.75,253.87,217.97
2025-06-03,235.3931121826172,238.52888148156134,234.9246534162675,237.09484010992873,8573438,-0.0072,237.59,253.87,217.97
2025-06-04,236.0049591064453,238.82523743186326,235.67034363231838,235.67034363231838,6698150,0.0014,237.13,253.87,217.97
2025-06-05,237.0374755859375,238.5193212216614,236.0240887062802,236.04319875424977,6468060,0.0042,237.09,253.87,217.97
2025-06-06,237.6588897705078,238.98776750731147,236.23441802954062,236.23441802954062,4445411,0.006,237.25,253.87,217.97
2025-06-09,240.24017333984375,242.25739219424057,238.26120375928954,238.62449892167552,9193904,0.0068,237.4,253.87,217.97
2025-06-10,243.66275024414062,244.5518634996342,240.75643275281624,241.77937470124814,10739851,0.0078,238.11,253.87,217.97
2025-06-11,247.53468322753906,250.09683023683849,242.92662311522986,244.7621797999991,17268454,0.0113,239.65,253.87,217.97
2025-06-12,248.19430541992188,251.43525291234172,245.0489956960389,248.56717017950135,14528657,-0.0015,241.48,253.87,217.97
2025-06-13,248.76792907714844,250.71823351466082,242.83100595890886,243.78703354142425,8692116,0.0204,243.3,253.87,217.97
2025-06-16,251.33009338378906,253.64366368660225,246.65510472024687,248.5671597955976,10935361,0.0111,245.34,253.87,217.97
2025-06-17,251.34921264648438,253.77753085038947,250.1541781805768,251.33010259826244,7528454,0.0001,247.3,253.87,217.97
2025-06-18,250.08724975585938,253.92092966647772,249.551876648098,251.33964354462043,5016660,-0.005,248.7,253.92,217.97
2025-06-19,253.90179443359375,254.72399333206667,250.29758092368093,251.29185778614354,14184486,0.0104,250.17,254.72,217.97
2025-06-20,254.81959533691406,255.45057703087332,251.3109613361813,254.30333228264814,12904674,0.002,251.21,255.45,217.97
2025-06-23,251.66470336914062,253.53853852582162,250.29759086374162,252.39129370236992,6214062,-0.0029,251.7,255.45,217.97
2025-06-24,253.31863403320312,256.83680859480046,253.0700575212962,253.82532749356554,6319428,-0.002,252.35,256.84,217.97
2025-06-25,257.5633850097656,258.0891884905033,254.15992927555354,254.20771898265866,5331739,0.0132,253.24,258.09,217.97
2025-06-26,256.7124938964844,259.370249180491,255.4409901582738,257.2670061850603,8564099,-0.0022,254.01,259.37,217.97
2025-06-27,253.3950958251953,258.12744396820415,252.86929233181482,257.17141639795153,8906108,-0.0147,254.48,259.37,217.97
2025-06-30,254.2842254638672,255.01078658303396,251.33964418799587,254.39894410501742,7119563,-0.0005,254.54,259.37,217.97
2025-07-01,252.9170684814453,256.5499905590356,252.1044684308101,253.825306294754,3886095,-0.0036,254.27,259.37,217.97
2025-07-02,255.25936889648438,256.88462748481066,252.8215101896419,253.34731369875792,8750887,0.0075,254.78,259.37,217.97
2025-07-03,255.30715942382812,258.9400818165316,254.73356620319072,256.5978025215564,9357962,-0.005,255.06,259.37,217.97
2025-07-04,258.1752624511719,259.4659056499897,255.73740354557657,256.50221401676157,7141779,0.0065,255.15,259.47,217.97
2025-07-07,255.97637939453125,258.65324489441184,255.54615532192918,258.1752311140299,4849218,-0.0085,255.04,259.47,217.97
2025-07-08,257.7928161621094,258.41422821794356,255.59396452588237,256.02415940654697,5519016,0.0069,255.67,259.47,217.97
