Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-02 00:00:00-05:00,303.0166882830762,308.27296712894787,301.088022863519,306.3043518066406,34790200,0.0,0.0
2026-03-03 00:00:00-05:00,298.37994467731505,303.72618716624237,296.5012623376298,303.3664245605469,35497000,0.0,0.0
2026-03-04 00:00:00-05:00,302.6769571429086,305.2551289128473,300.5384478137644,302.9167785644531,29536200,0.0,0.0
2026-03-05 00:00:00-05:00,302.82681905445145,303.08661540637286,297.78035344585857,300.6683349609375,35752300,0.0,0.0
2026-03-06 00:00:00-05:00,295.88171424137005,300.31859339921897,294.97235071392555,298.30999755859375,25576900,0.0,0.0
2026-03-09 00:00:00-04:00,294.3599853515625,306.79998779296875,294.0799865722656,306.3599853515625,29312100,0.21,0.0
2026-03-10 00:00:00-04:00,306.1700134277344,309.510009765625,305.57000732421875,307.0400085449219,23239700,0.0,0.0
2026-03-11 00:00:00-04:00,306.75,311.4200134277344,305.9200134277344,308.70001220703125,24125700,0.0,0.0
2026-03-12 00:00:00-04:00,306.82000732421875,308.94000244140625,301.0299987792969,303.54998779296875,24928300,0.0,0.0
2026-03-13 00:00:00-04:00,307.010009765625,307.69000244140625,300.44000244140625,302.2799987792969,23693100,0.0,0.0
2026-03-16 00:00:00-04:00,304.3500061035156,306.489990234375,303.0199890136719,305.55999755859375,23519700,0.0,0.0
2026-03-17 00:00:00-04:00,305.8599853515625,311.4200134277344,305.5,310.9200134277344,21955200,0.0,0.0
2026-03-18 00:00:00-04:00,309.2699890136719,312.4700012207031,306.92999267578125,307.69000244140625,20009800,0.0,0.0
2026-03-19 00:00:00-04:00,304.010009765625,308.05999755859375,302.3500061035156,307.1300048828125,25075800,0.0,0.0
2026-03-20 00:00:00-04:00,305.4599914550781,306.0,298.2699890136719,301.0,44364100,0.0,0.0
2026-03-23 00:00:00-04:00,302.1099853515625,305.9800109863281,300.92999267578125,302.05999755859375,29326900,0.0,0.0
2026-03-24 00:00:00-04:00,299.20001220703125,299.9200134277344,290.3299865722656,290.44000244140625,36864300,0.0,0.0
2026-03-25 00:00:00-04:00,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700,0.0,0.0
2026-03-26 00:00:00-04:00,287.9100036621094,287.95001220703125,278.5,280.9200134277344,39080600,0.0,0.0
2026-03-27 00:00:00-04:00,277.2799987792969,279.3699951171875,273.95001220703125,274.3399963378906,35890600,0.0,0.0
2026-03-30 00:00:00-04:00,276.4200134277344,277.0899963378906,272.1099853515625,273.5,35067900,0.0,0.0
